,tid,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65plus
0,2050025.02,230,560,555,395,285,330,320,350,340,245,805
0,2050025.01,270,405,365,315,320,350,315,300,280,285,745
0,2050024.00,280,415,410,360,370,450,475,425,340,295,895
0,2050017.00,125,125,130,125,185,200,185,185,175,105,360
0,2050016.00,150,190,210,245,215,255,300,260,195,150,465
0,2050022.00,245,440,505,420,385,430,425,445,405,320,915
0,2050023.00,265,415,375,310,245,340,290,270,235,160,670
0,2050018.00,155,330,270,225,205,250,270,285,245,195,840
0,2050015.00,270,380,430,350,335,400,435,350,310,230,555
0,2050001.00,285,215,215,225,250,295,350,260,215,170,410
0,2050014.00,205,190,155,185,205,280,315,295,300,270,1170
0,2050013.00,180,235,155,150,170,210,240,220,180,130,340
0,2050019.00,210,515,505,325,305,360,350,355,255,135,640
0,2050011.00,390,1160,765,465,355,415,360,325,275,140,565
0,2050002.00,335,290,275,285,345,480,525,520,455,280,775
0,2050012.00,200,390,270,155,140,150,205,205,190,100,220
0,2050006.00,255,570,260,105,145,175,215,255,250,145,490
0,2050005.00,130,180,95,55,70,100,145,165,180,130,275
0,2050021.00,150,190,270,275,235,265,240,290,190,130,385
0,2050020.00,70,285,290,230,200,190,140,155,130,80,790
0,2050003.00,185,455,200,135,115,130,175,210,255,150,350
0,2050010.00,205,670,665,400,335,290,290,290,280,215,460
0,2050007.00,30,290,230,85,35,50,55,105,90,90,695
0,2050004.02,175,1060,735,385,245,175,165,170,165,185,555
0,2050009.00,75,380,415,195,160,110,95,110,85,50,105
0,2050008.00,105,640,490,235,170,130,110,155,150,125,255
0,2050004.01,100,870,775,370,200,155,130,140,120,85,205
0,2050112.00,100,145,160,150,130,185,210,175,120,95,190
0,2050111.00,165,295,305,240,245,315,285,275,215,145,385
0,2050110.00,100,125,115,115,100,105,125,105,140,115,330
0,2050109.00,195,195,215,210,205,260,290,305,255,160,685
0,2050108.00,220,220,175,180,240,320,305,320,330,255,1055
0,2050102.00,245,335,360,295,280,350,360,375,320,170,560
0,2050101.00,170,250,225,190,250,290,310,285,265,180,550
0,2050103.00,310,300,250,270,295,335,400,350,320,275,680
0,2050100.00,200,180,185,220,195,305,320,260,190,150,450
0,2050104.01,100,85,80,65,110,210,165,165,155,100,585
0,2050104.02,380,285,260,325,425,560,520,465,450,390,1120
